Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
029780,KR7029780004,삼성카드,KOSPI,,55700,1,1100,2.01,55800,56400,54900,44019,2437134800,6453340228700,115858891,STK
021240,KR7021240007,코웨이,KOSPI,,89400,1,700,0.79,90000,90200,88400,103271,9244940600,6428676490200,71909133,STK
141080,KR7141080002,리가켐바이오,KOSDAQ GLOBAL,기술성장기업부,172200,1,500,0.29,176700,181500,171000,330241,57424740050,6304300203600,36610338,KSQ
950160,KR8840120008,코오롱티슈진,KOSDAQ,외국기업(소속부없음),75300,1,600,0.8,75700,77550,74200,335501,25389149150,6266561254500,83221265,KSQ
064400,KR7064400005,LG씨엔에스,KOSPI,,64100,2,-400,-0.62,65000,65000,63800,475874,30568303700,6210389266800,96885948,STK
000880,KR7000880005,한화,KOSPI,,82000,1,1600,1.99,81900,83000,81400,115500,9471202150,6146616270000,74958735,STK
028300,KR7028300002,HLB,KOSDAQ,중견기업부,46350,3,0,0.0,46600,46650,46000,273302,12669131350,6111391648500,131853110,KSQ
006260,KR7006260004,LS,KOSPI,,187700,1,2000,1.08,188700,189700,184500,85094,15880874550,5950090000000,31700000,STK
034220,KR7034220004,LG디스플레이,KOSPI,,11770,2,-200,-1.67,12040,12050,11690,2539423,29928726060,5885000000000,500000000,STK
241560,KR7241560002,두산밥캣,KOSPI,,59600,2,-300,-0.5,60800,60800,59200,129327,7703066450,5713021474000,95856065,STK
128940,KR7128940004,한미약품,KOSPI,,438000,2,-3000,-0.68,447000,447500,432500,66469,29001049000,5611214058000,12810991,STK
087010,KR7087010005,펩트론,KOSDAQ,기술성장기업부,238000,2,-6000,-2.46,244500,244500,236500,173985,41568603000,5549529300000,23317350,KSQ
088980,KR7088980008,맥쿼리인프라,KOSPI,,11550,2,-80,-0.69,11630,11650,11530,1688468,19531405085,5531549019150,478921993,STK
000250,KR7000250001,삼천당제약,KOSDAQ,중견기업부,234500,2,-4500,-1.88,242000,244500,233000,131150,31061750500,5500777184000,23457472,KSQ
454910,KR7454910001,두산로보틱스,KOSPI,,82300,1,2900,3.65,80700,83700,79800,441589,36268492200,5334684354000,64819980,STK
078930,KR7078930005,GS,KOSPI,,55600,1,300,0.54,55800,55800,54900,163001,9009873400,5166095016800,92915378,STK
138930,KR7138930003,BNK금융지주,KOSPI,,16230,1,260,1.63,16030,16350,15930,1311128,21270477365,5103120249420,314425154,STK
001040,KR7001040005,CJ,KOSPI,,173100,1,600,0.35,174900,175000,172000,71279,12339344800,5050538353800,29176998,STK
028050,KR7028050003,삼성E&A,KOSPI,,25300,1,350,1.4,25200,25400,24950,540509,13593123875,4958800000000,196000000,STK
175330,KR7175330000,JB금융지주,KOSPI,,25700,1,900,3.63,25250,25900,25050,500320,12842370675,4880034245700,189884601,STK
005385,KR7005381009,현대차우,KOSPI,,203500,1,1000,0.49,204000,204000,199800,52672,10667061300,4749885360000,23340960,STK
009830,KR7009830001,한화솔루션,KOSPI,,27450,1,550,2.04,27250,27500,27150,455667,12471327725,4718450113200,171892536,STK
058470,KR7058470006,리노공업,KOSDAQ GLOBAL,우량기업부,61400,1,1900,3.19,61300,61700,60000,357271,21840224400,4679407590000,76211850,KSQ
001440,KR7001440007,대한전선,KOSPI,,23350,1,700,3.09,23100,24250,23050,3412055,80646542450,4353544455000,186447300,STK
